2015
March,"14.0(10.8, 8.5)","19.0(2.5, 1.9)",0.1
April,"15.6(10.6, 8.3)","16.4(3.0, 2.5)",0.1
May,"15.8(11.4, 9.4)","12.5(3.5, 2.6)",0.1
June,"13.4(9.6, 7.3)","12.3(3.5, 3.0)",0.1
July,"13.2(8.9, 7.7)","11.7(3.4, 2.8)",0.1
August,"12.7(7.5, 5.9)","11.9(3.0, 2.6)",0.3
September,"13.4(8.2, 6.3)","12.1(3.0, 2.7)",0.1
October,"13.0(8.5, 6.7)","15.8(2.7, 2.2)",0.3
November,"16.3(10.4, 8.2)","18.0(3.1, 2.3)",0.1
December,"18.1(7.6, 6.2)","19.1(3.6, 2.9)",0.1
