2014
January, No Data
February, No Data
March,20.3(10.9),22.8(5.2),192.9
April,17.0(10.7),21.1(5.4),340.1
May,17.0(10.9),19.5(5.3),437.9
June,14.0(11.7),18.0(5.8),528.6
July,13.7(11.5),17.1(5.7),624.4
August,14.6(11.5),16.8(5.5),747.9
September,15.4(11.8),16.7(5.3),903.1
October,15.9(11.6),16.8(5.3),1113.1
November,16.4(11.4),17.1(5.3),1342.1
December,16.9(11.2),17.5(5.4),1619.1
